"Category","FileName","RelativePath","LastWriteTime","IsDuplicate","IsNewestVersion","MigrationPriority","YAMLFrontMatter"
"Rules","ai-edit-safety.md",".clinerules\ai-edit-safety.md","7/21/2025 11:45:41 AM","False",,"Standard","---
original_path: .clinerules\ai-edit-safety.md
last_modified: 7/21/2025 11:45:41 AM
category: Rules
migration_date: 2025-08-05
---"
"Rules","clinerules-overview.md",".clinerules\clinerules-overview.md","7/18/2025 9:34:20 PM","False",,"Standard","---
original_path: .clinerules\clinerules-overview.md
last_modified: 7/18/2025 9:34:20 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","code-duplication-detection.md",".clinerules\code-duplication-detection.md","8/5/2025 4:53:43 PM","False",,"Standard","---
original_path: .clinerules\code-duplication-detection.md
last_modified: 8/5/2025 4:53:43 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","component-deduplication.md",".clinerules\component-deduplication.md","8/5/2025 4:53:43 PM","False",,"Standard","---
original_path: .clinerules\component-deduplication.md
last_modified: 8/5/2025 4:53:43 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","component-props-validation.md",".clinerules\component-props-validation.md","7/18/2025 9:34:20 PM","False",,"Standard","---
original_path: .clinerules\component-props-validation.md
last_modified: 7/18/2025 9:34:20 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","coordinate-data-management.md",".clinerules\coordinate-data-management.md","7/20/2025 8:23:00 PM","False",,"Standard","---
original_path: .clinerules\coordinate-data-management.md
last_modified: 7/20/2025 8:23:00 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","dev-conventions.md",".clinerules\dev-conventions.md","7/18/2025 9:34:20 PM","False",,"Standard","---
original_path: .clinerules\dev-conventions.md
last_modified: 7/18/2025 9:34:20 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","esm-import-best-practices.md",".clinerules\esm-import-best-practices.md","8/5/2025 4:53:43 PM","False",,"Standard","---
original_path: .clinerules\esm-import-best-practices.md
last_modified: 8/5/2025 4:53:43 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","impact-analysis-protocol.md",".clinerules\impact-analysis-protocol.md","7/21/2025 11:44:35 AM","False",,"Standard","---
original_path: .clinerules\impact-analysis-protocol.md
last_modified: 7/21/2025 11:44:35 AM
category: Rules
migration_date: 2025-08-05
---"
"Rules","leaflet-map-rendering.md",".clinerules\leaflet-map-rendering.md","7/18/2025 9:34:20 PM","False",,"Standard","---
original_path: .clinerules\leaflet-map-rendering.md
last_modified: 7/18/2025 9:34:20 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","mermaid-syntax.md",".clinerules\mermaid-syntax.md","7/18/2025 9:34:20 PM","False",,"Standard","---
original_path: .clinerules\mermaid-syntax.md
last_modified: 7/18/2025 9:34:20 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","operational-learnings.md",".clinerules\operational-learnings.md","8/5/2025 4:53:43 PM","False",,"Standard","---
original_path: .clinerules\operational-learnings.md
last_modified: 8/5/2025 4:53:43 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","secrets-management.md",".clinerules\secrets-management.md","8/5/2025 4:53:43 PM","False",,"Standard","---
original_path: .clinerules\secrets-management.md
last_modified: 8/5/2025 4:53:43 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","supabase-best-practices.md",".clinerules\supabase-best-practices.md","7/19/2025 2:06:49 PM","False",,"Standard","---
original_path: .clinerules\supabase-best-practices.md
last_modified: 7/19/2025 2:06:49 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","type-safety.md",".clinerules\type-safety.md","7/18/2025 9:34:20 PM","False",,"Standard","---
original_path: .clinerules\type-safety.md
last_modified: 7/18/2025 9:34:20 PM
category: Rules
migration_date: 2025-08-05
---"
"Rules","variants.md",".clinerules\variants.md","7/18/2025 9:34:20 PM","False",,"Standard","---
original_path: .clinerules\variants.md
last_modified: 7/18/2025 9:34:20 PM
category: Rules
migration_date: 2025-08-05
---"
